bucket,lower_boundary,upper_boundary,frequency,distinct_values
1,847,140622,50,50
2,140761,258375,50,50
3,258615,377423,50,50
4,378090,484408,50,50
5,499968,597279,50,50
6,600699,725692,50,50
7,731697,871505,50,50
8,881815,1020829,50,50
9,1020894,1152758,50,50
10,1154192,1274886,50,50
11,1276675,1382541,50,50
12,1383813,1486390,50,50
13,1486727,1615032,50,50
14,1615812,1770041,50,50
15,1770183,1907517,50,50
16,1911664,2039649,50,50
17,2046649,2167311,50,50
18,2172668,2298942,50,50
19,2299223,2400490,50,50
20,2403173,2527908,50,50
