bucket,lower_boundary,upper_boundary,frequency,distinct_values
1,#WhiteGirlProblems,(#1.1234),21,19
2,(#1.13),(#1.13),14,1
3,(#1.13047),(#1.1337),2,2
4,(#1.14),(#1.14),9,1
5,(#1.140),(#1.1499),6,5
6,(#1.15),(#1.15),10,1
7,(#1.158),(#1.158),1,1
8,(#1.16),(#1.16),8,1
9,(#1.160),(#1.243),27,20
10,(#1.25),(#1.25),10,1
11,(#1.2548),(#2.108),135,102
12,(#2.15),(#2.15),8,1
13,(#2.150),(#2.61),17,10
14,(#2.7),(#2.7),7,1
15,(#2.8),(#2.8),13,1
16,(#2.82),(#35.103),41,30
17,(#4.1),(#6.14),36,16
18,(#6.16),Pilates for Indie Rockers,1997,1935
19,Pilot,Pilot,13,1
20,Pink,Území bílých králu,863,851
