"id","frequency"
233,1
485,1
861,1
1288,1
2163,1
4505,1
4696,1
4841,1
5215,1
6728,1
7325,1
9748,1
9780,1
10192,1
10199,1
11771,1
12750,1
12825,1
12927,1
13847,1
14442,1
15134,1
15552,1
15646,1
16338,1
17824,1
18452,1
19654,1
19671,1
19908,1
20646,1
20700,1
21996,1
22666,1
23015,1
26246,1
26508,1
27578,1
28263,1
28917,1
28974,1
29075,1
29565,1
31912,1
32829,1
33036,1
34083,1
34276,1
36838,1
37529,1
37767,1
39466,1
39818,1
39992,1
40225,1
41232,1
41649,1
42247,1
44591,1
44927,1
45092,1
46042,1
46461,1
46902,1
48281,1
48439,1
48715,1
48858,1
50834,1
51512,1
51760,1
53307,1
53582,1
54219,1
54709,1
55735,1
55759,1
56218,1
56978,1
57294,1
57485,1
57601,1
57689,1
58128,1
58225,1
59179,1
59718,1
59839,1
61123,1
61578,1
61866,1
61914,1
64455,1
64502,1
65108,1
65661,1
66309,1
66516,1
67175,1
67187,1
67486,1
68100,1
68346,1
68775,1
69100,1
70352,1
71093,1
71242,1
71650,1
73123,1
73396,1
73663,1
74233,1
75881,1
76567,1
76948,1
76989,1
77345,1
77513,1
77661,1
77774,1
78826,1
79065,1
80704,1
80741,1
83531,1
84226,1
85454,1
85889,1
85986,1
87373,1
87928,1
89498,1
89919,1
90001,1
91698,1
91854,1
92060,1
92120,1
92650,1
92818,1
93638,1
94258,1
96166,1
96359,1
96825,1
99056,1
99262,1
101335,1
101585,1
101760,1
102186,1
103117,1
103305,1
103721,1
103725,1
103967,1
104410,1
104581,1
104901,1
105836,1
105844,1
105955,1
106324,1
107204,1
107281,1
107793,1
107901,1
108421,1
108729,1
108740,1
109025,1
109080,1
110760,1
111803,1
112940,1
113325,1
115138,1
115538,1
115585,1
115881,1
116151,1
116625,1
117090,1
117396,1
117593,1
118619,1
119456,1
119878,1
120457,1
120670,1
120708,1
120734,1
120751,1
120847,1
121051,1
121506,1
122443,1
122708,1
123362,1
123614,1
123848,1
124097,1
124286,1
125573,1
126509,1
126637,1
127507,1
127548,1
127750,1
129020,1
129720,1
130685,1
131962,1
132167,1
132359,1
132693,1
133699,1
133934,1
135631,1
135732,1
135894,1
135919,1
136040,1
136125,1
136374,1
137366,1
138012,1
139415,1
139554,1
139728,1
142203,1
142549,1
142699,1
142970,1
143341,1
143420,1
143570,1
145008,1
145806,1
146637,1
147896,1
148196,1
148581,1
149707,1
150808,1
150857,1
152780,1
153067,1
154265,1
154783,1
154950,1
155046,1
155957,1
156338,1
156749,1
156969,1
157491,1
158659,1
159033,1
159849,1
160093,1
160199,1
161055,1
161195,1
161796,1
162436,1
162519,1
163156,1
164500,1
164871,1
165191,1
165318,1
166002,1
166240,1
166260,1
167091,1
167329,1
168515,1
168665,1
169210,1
170589,1
170658,1
171326,1
172061,1
172628,1
173012,1
173606,1
174146,1
175114,1
176121,1
176281,1
176744,1
177398,1
177512,1
177683,1
177844,1
178962,1
179896,1
180094,1
180117,1
180938,1
180977,1
181385,1
182200,1
182457,1
183981,1
185004,1
185046,1
185160,1
185349,1
185977,1
186349,1
186737,1
186766,1
187312,1
187777,1
188512,1
188644,1
188678,1
188796,1
188820,1
189117,1
189180,1
191498,1
192117,1
192667,1
192933,1
194120,1
194224,1
194626,1
195569,1
196532,1
196655,1
197678,1
197804,1
197942,1
198445,1
199081,1
199467,1
199910,1
199927,1
200126,1
200184,1
200451,1
200591,1
200680,1
200711,1
200759,1
200900,1
201163,1
201429,1
201465,1
201887,1
201922,1
202113,1
202160,1
202417,1
202493,1
202786,1
202802,1
203007,1
203095,1
203241,1
203589,1
203637,1
203957,1
204053,1
204217,1
204475,1
205067,1
205223,1
205258,1
205315,1
205837,1
205985,1
206105,1
206151,1
206473,1
206488,1
206572,1
206613,1
206703,1
206721,1
206850,1
206859,1
206953,1
207094,1
207141,1
207149,1
207321,1
207413,1
207540,1
207631,1
207674,1
207675,1
208130,1
208153,1
208172,1
208227,1
208280,1
208440,1
208512,1
208608,1
208686,1
208808,1
208891,1
208935,1
208983,1
209092,1
209177,1
209247,1
209254,1
209332,1
209432,1
209471,1
209566,1
209651,1
209696,1
209766,1
209780,1
209786,1
209804,1
209874,1
210601,1
210624,1
210697,1
210716,1
210961,1
211035,1
211118,1
211213,1
211483,1
211525,1
211723,1
211939,1
212023,1
212268,1
212273,1
212335,1
212358,1
212526,1
212588,1
212797,1
213214,1
213258,1
213337,1
213516,1
213652,1
213714,1
214082,1
214533,1
214653,1
215425,1
215432,1
215438,1
215449,1
215526,1
215552,1
215667,1
215687,1
215693,1
215744,1
215878,1
215880,1
216164,1
216215,1
216290,1
216332,1
216482,1
216486,1
216613,1
216910,1
217217,1
217522,1
217530,1
217923,1
218122,1
218218,1
218300,1
218323,1
218389,1
218422,1
218663,1
219056,1
219633,1
219646,1
219658,1
219894,1
220420,1
220560,1
220568,1
220627,1
220707,1
220718,1
220772,1
220821,1
220936,1
221256,1
221286,1
221310,1
221459,1
221490,1
221568,1
221600,1
221715,1
221959,1
222139,1
222196,1
222422,1
222580,1
222701,1
222743,1
222853,1
223161,1
223407,1
223508,1
224283,1
225238,1
225358,1
225667,1
225747,1
225892,1
225935,1
226059,1
226262,1
226393,1
226431,1
227356,1
227386,1
227528,1
227545,1
227552,1
227693,1
228523,1
228552,1
228554,1
228618,1
228637,1
228698,1
228710,1
228739,1
228915,1
229121,1
229613,1
229754,1
229832,1
230056,1
230287,1
230442,1
231049,1
231353,1
231567,1
232192,1
232219,1
232288,1
232316,1
232375,1
232858,1
233029,1
233377,1
233382,1
233497,1
233789,1
233942,1
234041,1
234503,1
234559,1
234608,1
234772,1
235208,1
235323,1
235330,1
235449,1
235598,1
235725,1
235808,1
235845,1
235911,1
236208,1
236447,1
236461,1
236712,1
236908,1
237005,1
237095,1
237169,1
237214,1
237354,1
237399,1
237412,1
237528,1
237544,1
237622,1
238303,1
238453,1
238566,1
238683,1
238800,1
238990,1
238998,1
239009,1
239042,1
239310,1
239467,1
239560,1
239599,1
239879,1
239936,1
240516,1
241238,1
241340,1
241592,1
241862,1
241884,1
241941,1
242273,1
242283,1
242331,1
242632,1
242771,1
243214,1
243586,1
243623,1
243624,1
243647,1
244004,1
244159,1
244194,1
244283,1
244640,1
244689,1
244894,1
244995,1
245068,1
245332,1
245593,1
245658,1
245756,1
245791,1
245924,1
245935,1
246253,1
