"title","frequency"
"'Avatar' Exclusive!",1
"(#1.10107)",1
"(#1.10142)",1
"(#1.10686)",1
"(#1.110)",1
"(#1.111)",1
"(#1.113)",1
"(#1.11321)",1
"(#1.11379)",1
"(#1.115)",1
"(#1.11608)",1
"(#1.1177)",1
"(#1.118)",1
"(#1.124)",1
"(#1.12736)",1
"(#1.1277)",1
"(#1.1280)",1
"(#1.130)",1
"(#1.1300)",1
"(#1.13278)",1
"(#1.137)",1
"(#1.1410)",1
"(#1.1447)",1
"(#1.147)",1
"(#1.148)",1
"(#1.1506)",1
"(#1.1512)",1
"(#1.153)",1
"(#1.167)",1
"(#1.170)",1
"(#1.174)",1
"(#1.175)",1
"(#1.1757)",1
"(#1.1777)",1
"(#1.18)",1
"(#1.187)",1
"(#1.1897)",1
"(#1.19)",1
"(#1.191)",1
"(#1.196)",1
"(#1.1962)",1
"(#1.20)",1
"(#1.2013)",1
"(#1.2093)",1
"(#1.21)",1
"(#1.22)",1
"(#1.230)",1
"(#1.2339)",1
"(#1.24)",1
"(#1.242)",1
"(#1.246)",1
"(#1.2647)",1
"(#1.270)",1
"(#1.271)",1
"(#1.28)",1
"(#1.288)",1
"(#1.29)",1
"(#1.292)",1
"(#1.298)",1
"(#1.30)",1
"(#1.3085)",1
"(#1.3094)",1
"(#1.31)",1
"(#1.3110)",1
"(#1.3190)",1
"(#1.3260)",1
"(#1.3349)",1
"(#1.336)",1
"(#1.338)",1
"(#1.342)",1
"(#1.36)",1
"(#1.360)",1
"(#1.3607)",1
"(#1.37)",1
"(#1.372)",1
"(#1.38)",1
"(#1.3897)",1
"(#1.3914)",1
"(#1.3988)",1
"(#1.4122)",1
"(#1.4130)",1
"(#1.45)",1
"(#1.453)",1
"(#1.4609)",1
"(#1.4631)",1
"(#1.4818)",1
"(#1.4877)",1
"(#1.489)",1
"(#1.4943)",1
"(#1.507)",1
"(#1.51)",1
"(#1.52)",1
"(#1.5232)",1
"(#1.53)",1
"(#1.5331)",1
